PlayerName,Oponent,Tournament,GroundNumerico,Prize,TournamentYear,NumeroSets,DiffIMC,DiffAge,DiffRank,QTDBelgas,Finals,SumMainHand,SumTrainer,TipoTorneio
Gavin Van Peperzeel,Julien Dubail,Belgium F1,1,10000,2013,2,1.59070473016261,-4,-120.0,1,0,2,1,Melhor_de_3
Alexander Ward,Julien Dubail,Belgium F2,1,15000,2014,2,3.8954869898998226,-2,-129.0,1,0,2,1,Melhor_de_3
Frederik Nielsen,Julien Dubail,Mons,2,141445,2013,2,3.6750510351215624,5,-181.0,1,0,2,1,Melhor_de_3
Joran Vliegen,Julien Dubail,Belgium F3,1,10000,2015,2,0.44083337822260305,-5,-328.0,2,0,1,1,Melhor_de_3
Axel Michon,Julien Dubail,Belgium F2,1,25000,2017,2,1.8501984581248045,-2,8.0,1,1,1,0,Melhor_de_3
Julien Obry,Julien Dubail,Belgium F2,1,10000,2010,2,3.4508993718846455,-3,-121.0,1,0,2,1,Melhor_de_3
Alexandre Folie,Julien Dubail,Belgium F2,1,10000,2013,3,1.5372945497913655,-2,-37.0,2,0,2,0,Melhor_de_3
Alexandre Folie,Julien Dubail,Belgium F9,1,10000,2011,2,1.5372945497913655,-2,-37.0,2,1,2,0,Melhor_de_3
Antal Van Der Duim,Julien Dubail,Belgium F10,1,10000,2013,2,2.434566610060525,1,-157.0,1,0,2,0,Melhor_de_3
Stijn Meulemans,Julien Dubail,Belgium F12,1,10000,2015,2,1.4552539519634635,-4,290.0,1,0,2,1,Melhor_de_3
Francesco Picco,Julien Dubail,Belgium F5,1,10000,2012,3,1.1530105869178193,-3,93.0,1,0,2,1,Melhor_de_3
Julian Reister,Julien Dubail,Mons,2,148544,2009,2,3.6750510351215624,2,-288.0,1,0,2,1,Melhor_de_3
Arthur De Greef,Julien Dubail,Belgium F2,1,10000,2011,2,0.8580429274479506,-4,-258.0,2,1,2,1,Melhor_de_3
Arthur De Greef,Julien Dubail,Belgium F1,1,10000,2010,3,0.8580429274479506,-4,-258.0,2,0,2,1,Melhor_de_3
Julien Cagnina,Julien Dubail,Belgium F7,1,10000,2012,2,0.559437415190196,-6,-132.0,1,0,2,0,Melhor_de_3
Julien Cagnina,Julien Dubail,Belgium F10,1,10000,2014,2,0.559437415190196,-6,-132.0,1,0,2,0,Melhor_de_3
Jules Marie,Julien Dubail,Belgium F7,1,10000,2014,2,1.265830306189084,-3,19.0,1,0,2,0,Melhor_de_3
Clement Geens,Julien Dubail,Belgium F10,1,10000,2015,2,1.1530105869178193,-8,-126.0,2,1,2,1,Melhor_de_3
Robin Haase,Julien Dubail,Belgium F2,2,15000,2005,2,0.16671808533041244,1,-91.0,1,0,2,1,Melhor_de_3
Johan Tatlot,Julien Dubail,Belgium F13,1,10000,2014,2,3.7511985573231037,-8,651.0,1,1,2,1,Melhor_de_3
Yanais Laurent,Julien Dubail,Belgium F5,1,10000,2015,3,1.7538594642212217,-4,4659.0,1,1,2,0,Melhor_de_3
Jacob Grills,Julien Dubail,Belgium F7,1,10000,2015,3,1.8501984581248045,-7,10.0,1,1,2,0,Melhor_de_3
